t,x,y,z,yaw1,yaw2,label
1714224617814836173,3.46736,0.365955,-0.513039,0.313201,-0.103978,Three
1714224617822059901,3.50679,0.366124,-0.519413,0.244554,-0.0285715,Three
1714224617829278937,3.52364,0.363206,-0.522543,0.257846,-0.0526772,Three
1714224617836742949,3.44288,0.350016,-0.509367,0.37586,-0.163774,Three
1714224617844040160,3.49818,0.35134,-0.517784,0.31444,-0.107082,Three
1714224617851290146,3.53283,0.350283,-0.522891,0.291791,-0.0862245,Three
1714224617858731469,3.51818,0.344182,-0.520119,0.320654,-0.117361,Three
1714224617865943129,3.49916,0.337649,-0.516807,0.368945,-0.170732,Three
1714224617873041854,3.48841,0.332468,-0.515157,0.408549,-0.209084,Three
1714224617880782398,3.48231,0.327253,-0.514224,0.424697,-0.224917,Three
1714224617887808275,3.52453,0.326843,-0.52067,0.41467,-0.220948,Three
1714224617894866270,3.57886,0.327941,-0.528883,0.391019,-0.199892,Three
1714224617902794069,3.55931,0.321415,-0.525308,0.43829,-0.245377,Three
1714224617910219026,3.55333,0.31616,-0.524473,0.471644,-0.279024,Three
1714224617917328797,3.56229,0.312987,-0.525854,0.485826,-0.298479,Three
1714224617924806925,3.56911,0.309122,-0.526264,0.504305,-0.320618,Three
1714224617931931365,3.57867,0.305748,-0.52698,0.528198,-0.347227,Three
1714224617939030944,3.57383,0.301464,-0.526346,0.547667,-0.368324,Three
1714224617946758960,3.55474,0.295222,-0.52331,0.589274,-0.408325,Three
1714224617953885818,3.5673,0.292619,-0.525207,0.601725,-0.420821,Three
1714224617960849870,3.60816,0.292166,-0.530496,0.613268,-0.433163,Three
1714224617968740662,3.56932,0.284802,-0.523932,0.654974,-0.477217,Three
1714224617975776286,3.56488,0.280808,-0.522593,0.681075,-0.506229,Three
1714224617982803003,3.59586,0.27979,-0.527186,0.690399,-0.515257,Three
1714224617990778332,3.64653,0.27978,-0.534879,0.697328,-0.523921,Three
1714224617997827893,3.73788,0.648554,-0.550228,-0.695962,0.997386,Three
1714224618004711218,3.60663,0.269642,-0.5275,0.763289,-0.592013,Three
1714224618011568825,3.67656,0.271397,-0.538705,0.759778,-0.590749,Three
1714224618018812148,3.63507,0.618868,-0.535754,-0.647273,0.944751,Three
1714224618025237408,3.60425,0.609958,-0.53138,-0.634364,0.929732,Three
1714224618032076434,3.63194,0.61033,-0.536019,-0.601577,0.894986,Three
1714224618039217177,3.63598,0.606693,-0.537539,-0.574927,0.867191,Three
1714224618046367880,3.59751,0.595787,-0.532058,-0.564492,0.858324,Three
1714224618053567366,3.55462,0.584152,-0.525665,-0.556427,0.846654,Three
1714224618061009330,3.60756,0.587755,-0.534577,-0.514972,0.806885,Three
1714224618067736677,3.54216,0.572754,-0.524686,-0.513179,0.800995,Three
1714224618074101531,3.54739,0.569107,-0.525664,-0.490656,0.776801,Three
1714224618081144164,3.54667,0.564279,-0.52564,-0.461034,0.746736,Three
1714224618087072425,3.55611,0.561662,-0.52709,-0.44132,0.726804,Three
1714224618092871203,3.55311,0.556935,-0.527383,-0.41362,0.697684,Three
1714224618098681886,3.52003,0.54766,-0.522641,-0.415659,0.700405,Three
1714224618105384765,3.53707,0.54555,-0.525867,-0.389077,0.666914,Three
1714224618112176897,3.50725,0.535843,-0.520977,-0.380243,0.657049,Three
1714224618119078861,3.40928,0.515933,-0.504427,0.66035,-0.364877,Three
1714224618125962585,3.53637,0.52976,-0.526143,-0.314531,0.586581,Three
1714224618133783703,3.50544,0.519316,-0.521637,-0.299599,0.571212,Three
1714224618140573044,3.5075,0.514081,-0.522227,-0.2871,0.556482,Three
1714224618147838502,3.49858,0.507035,-0.520937,-0.254526,0.521915,Three
1714224618154760565,3.4742,0.497941,-0.517609,-0.244892,0.511538,Three
1714224618161855943,3.50159,0.495846,-0.522501,-0.209562,0.472526,Three
1714224618168810848,3.50248,0.490587,-0.52264,-0.166455,0.429443,Three
1714224618175808018,3.53368,0.489059,-0.527685,-0.0983088,0.36353,Three
1714224618183046252,3.4913,0.477231,-0.520588,-0.148135,0.409079,Three
1714224618190127540,3.50751,0.47365,-0.523686,-0.122158,0.378438,Three
1714224618197223147,3.42282,0.456418,-0.510373,-0.182476,0.432667,Three
1714224618203006398,3.47277,0.458236,-0.5188,-0.0823051,0.335217,Three
1714224618208946216,3.44718,0.449349,-0.514779,-0.0925353,0.339019,Three
1714224618214969189,3.46382,0.446972,-0.516737,-0.0709083,0.316944,Three
1714224618221861219,3.47473,0.442273,-0.519003,0.0264857,0.221157,Three
1714224618227990794,3.48206,0.438065,-0.52064,-0.0455959,0.288805,Three
1714224618233887422,3.45278,0.429211,-0.516007,-0.0206038,0.260387,Three
1714224618239862437,3.45607,0.424653,-0.516646,0.0223705,0.217269,Three
1714224618245858900,3.48103,0.42215,-0.52038,0.0401523,0.196261,Three
1714224618251833138,3.46208,0.414668,-0.517103,-0.0148606,0.246645,Three
1714224618258088973,3.46116,0.409572,-0.517026,0.0353516,0.196639,Three
1714224618265785593,3.44331,0.400035,-0.513986,-0.0160518,0.24348,Three
1714224618272899716,3.45908,0.39583,-0.516817,0.0272912,0.199719,Three
1714224618279938588,3.47097,0.391152,-0.518486,0.100146,0.124926,Three
1714224618287761946,3.45115,0.382013,-0.515084,0.0544994,0.162508,Three
1714224618294932800,3.4694,0.377499,-0.517843,0.127804,0.0902873,Three
1714224618302147844,3.48761,0.373183,-0.520919,0.145357,0.0698313,Three
1714224618309794668,3.48689,0.367199,-0.521087,0.0786522,0.133737,Three
1714224618317218822,3.48669,0.360293,-0.520747,0.0886718,0.117138,Three
1714224618324554877,3.49183,0.354534,-0.521285,0.0872413,0.115953,Three
1714224618331945963,3.50775,0.349347,-0.523251,0.179701,0.0207512,Three
1714224618339267091,3.492,0.341388,-0.520891,0.25356,-0.0525466,Three
1714224618346019440,3.48989,0.335429,-0.520679,0.274709,-0.0762581,Three
